surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
a la	a la	a la	a|la	0	1	PDEP|WIKTIONARY	source_count=2; source_row_count=2
aback of	aback of	aback of	aback|of	0	1	WIKTIONARY	source_count=1; source_row_count=1
above and beyond	above and beyond	above and beyond	above|and|beyond	0	2	WIKTIONARY	source_count=1; source_row_count=1
above apex of	above apex of	above apex of	above|apex|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.53524574839e-10; ngram_max_frequency=2.34267738541e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above back of	above back of	above back of	above|back|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.19373325634e-10; ngram_max_frequency=3.62409047217e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above background of	above background of	above background of	above|background|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.45085017295e-10; ngram_max_frequency=1.37511346754e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above base of	above base of	above base of	above|base|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.55530803484e-09; ngram_max_frequency=2.24585292585e-08; ngram_nonzero_years=20; ngram_years=2000-2019
above border of	above border of	above border of	above|border|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.64180198151e-11; ngram_max_frequency=1.21333540437e-10; ngram_nonzero_years=10; ngram_years=2000-2019
above bottom of	above bottom of	above bottom of	above|bottom|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.84243498574e-09; ngram_max_frequency=4.95292337005e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above boundary of	above boundary of	above boundary of	above|boundary|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.28500485494e-11; ngram_max_frequency=2.01338362649e-10; ngram_nonzero_years=7; ngram_years=2000-2019
above center of	above center of	above center of	above|center|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.50203141513e-09; ngram_max_frequency=3.27123058849e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above core of	above core of	above core of	above|core|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.09480450347e-11; ngram_max_frequency=1.05977462916e-10; ngram_nonzero_years=8; ngram_years=2000-2019
above corner of	above corner of	above corner of	above|corner|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.14426570823e-10; ngram_max_frequency=3.62409047217e-10; ngram_nonzero_years=18; ngram_years=2000-2019
above crest of	above crest of	above crest of	above|crest|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.20385827469e-10; ngram_max_frequency=6.35864805254e-10; ngram_nonzero_years=20; ngram_years=2000-2019
above doorway of	above doorway of	above doorway of	above|doorway|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.39956377285e-11; ngram_max_frequency=1.41980441293e-10; ngram_nonzero_years=8; ngram_years=2000-2019
above edge of	above edge of	above edge of	above|edge|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.10091750783e-10; ngram_max_frequency=1.01111286011e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above end of	above end of	above end of	above|end|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=6.85140338387e-10; ngram_max_frequency=1.771777558e-09; ngram_nonzero_years=20; ngram_years=2000-2019
above entrance of	above entrance of	above entrance of	above|entrance|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.71969682622e-11; ngram_max_frequency=2.59262888935e-10; ngram_nonzero_years=15; ngram_years=2000-2019
above face of	above face of	above face of	above|face|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.03957759068e-10; ngram_max_frequency=1.12749476422e-09; ngram_nonzero_years=15; ngram_years=2000-2019
above foot of	above foot of	above foot of	above|foot|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.61854374884e-10; ngram_max_frequency=3.60645735498e-09; ngram_nonzero_years=18; ngram_years=2000-2019
